"VFID","VF_Name","VFcategory","arm","scenario","cases","n","prevalence","HR","lo","hi","p","HR_perSD","lo_perSD","hi_perSD","ph_term","ph_global","FDR"
"VF0144","Capsule","Immune modulation","abundance","base_cc",43,1699,0.307022318998367,0.46575581062802,0.215235629516435,1.00786508080067,0.0523665751373674,0.684215589449639,0.466333001826914,1.0038984395526,0.707279187275869,0.82017516805406,0.069123879181325
"VF0230","Salmochelin siderophore","Nutritional/Metabolic factor","abundance","base_cc",43,1699,0.129014697876973,1.52795129434173,0.98319463175247,2.37454018002443,0.0594766253001916,1.25251999247159,0.991038836001937,1.58299178049362,0.0648364010220987,0.512135443959316,0.0754895628810124
"VF0564","Ybt","Nutritional/Metabolic factor","abundance","base_cc",43,1699,0.20141535111595,1.39858397183067,0.982940197764672,1.98998589203079,0.0622698197259656,1.26935576908662,0.987840497783138,1.63109740097658,0.579841048349579,0.808071967047581,0.0761075574428469
"VF0506","FdeC","Adherence","abundance","base_cc",43,1699,0.180185084376701,1.67409502139615,0.967818113097885,2.89578599814851,0.0653289210031257,1.26559705018744,0.985158180020062,1.62586671453161,0.513413769410938,0.78832752063751,0.0769947997536838
"VF0579","T6SS","Effector delivery system","abundance","base_cc",43,1699,0.193794229722373,1.24953126810029,0.820225260548985,1.90353609557855,0.299617928260912,1.15105036862923,0.882368706968884,1.50154571513858,0.50303118421031,0.799945866266304,0.340944539055521
"VF0225","<alpha>-Hemolysin","Exotoxin","abundance","base_cc",43,1699,0.0626020685900925,1.37719412095181,0.722570558485006,2.62488365255418,0.330768536740923,1.12235348780763,0.889414272531291,1.41629990713875,0.370636576602343,0.775554184053835,0.363845390415016
"VF0573","Colibactin","Exotoxin","abundance","base_cc",43,1699,0.151878062057703,0.806865729087158,0.448228848716672,1.45245516132959,0.474296962410657,0.871897546602209,0.59893691889175,1.26925775952767,0.94766545671943,0.849458059831297,0.504896766437151
"VF0224","F1C fimbriae","Adherence","abundance","base_cc",43,1699,0.0876428960261296,0.973801908810026,0.423912241852711,2.23699639684276,0.950114140296838,0.988976961666177,0.69883991232442,1.39957007815034,0.916187625429304,0.845666334810396,0.955762144597731
"VF0222","S fimbriae","Adherence","abundance","base_cc",43,1699,0.131192161132281,0.978804391397801,0.459150778435338,2.08658698104449,0.955762144597731,0.990618235221584,0.710010278594402,1.38212715722403,0.785600156215313,0.840934747776676,0.955762144597731
"VF0394","Flagella","Motility","detection","adjusted",43,1699,0.189983669025585,3.37718144755646,1.82192427807778,6.26005957928875,0.000110998254606659,NA,NA,NA,0.36496176603295,0.5525227598238,0.00366294240201976
"VF0333","T2SS","Effector delivery system","detection","adjusted",43,1699,0.369080021774633,3.08128279838499,1.64188241127667,5.78257225877755,0.000458596025253462,NA,NA,NA,0.475466590673784,0.521856524540709,0.00577369403032096
"VF1138","Curli fibers","Adherence","detection","adjusted",43,1699,0.323897659227001,2.97601622522117,1.60668605972332,5.51238527226957,0.000524881275483724,NA,NA,NA,0.0527476246983833,0.351946473759495,0.00577369403032096
"VF0404","ECP","Adherence","detection","adjusted",43,1699,0.337506804572673,2.87873258261025,1.55674119035315,5.32336481718065,0.000748668688176197,NA,NA,NA,0.756928926173565,0.521435947253704,0.00617651667745362
"VF0228","Enterobactin","Nutritional/Metabolic factor","detection","adjusted",43,1699,0.348938486663038,2.72120951833179,1.46679408756573,5.04841225188515,0.00149862964880216,NA,NA,NA,0.332482542548862,0.535116510895728,0.00975767419570149
"VF0227","Chu","Nutritional/Metabolic factor","detection","adjusted",43,1699,0.272182906913446,2.68170130657569,1.44466556129034,4.9779838949483,0.00177412258103663,NA,NA,NA,0.532668715181442,0.551515384143038,0.00975767419570149
"VF0568","AcrAB","Antimicrobial activity/Competitive advantage","detection","adjusted",43,1699,0.188894937397931,2.6345257826504,1.39120456139824,4.98900470285538,0.00294454917114749,NA,NA,NA,0.642192591651291,0.571703413288588,0.0138814460925525
"VF0256","Shu","Nutritional/Metabolic factor","detection","adjusted",43,1699,0.152966793685357,2.61874470591528,1.32375347094753,5.18058987966281,0.00567864985506462,NA,NA,NA,0.695906377973882,0.604382196356246,0.0183204668932662
"VF0112","RpoS","Regulation","detection","adjusted",43,1699,0.246053347849755,2.38113187042167,1.28425291007217,4.41485391224003,0.00588331510400769,NA,NA,NA,0.937708167623077,0.607048276017957,0.0183204668932662
"VF0572","Allantion utilization","Nutritional/Metabolic factor","detection","adjusted",43,1699,0.142079477408819,2.68521074474229,1.32158131855153,5.45585552887662,0.00631642001803037,NA,NA,NA,0.823158153960586,0.614918654323796,0.0183204668932662
"VF0560","Capsule","Immune modulation","detection","adjusted",43,1699,0.22591181273816,2.40233581655905,1.27628946858172,4.52187181481309,0.00660767182487458,NA,NA,NA,0.358720182458636,0.528001690037883,0.0183204668932662
"VF0213","Adhesive fimbriae","Adherence","detection","adjusted",43,1699,0.0930865541643985,2.90550274862245,1.33394634246365,6.32855007245741,0.00724264896036159,NA,NA,NA,0.427203872655404,0.578631017844158,0.0183204668932662
